RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
1,Michael Thomas (NO) ,149,185,"1,725",11.6,49,17,9,1,-9,0,0,16,225.6,14.1,99.2%
2,Chris Godwin (TB) ,86,121,"1,333",15.5,71,25,9,1,8,0,0,14,190.1,13.6,97.5%
3,Kenny Golladay (NYG) ,65,116,"1,190",18.3,75,22,11,0,0,0,1,16,183.0,11.4,94.3%
4,Cooper Kupp (LAR) ,94,134,"1,161",12.4,66,21,10,2,4,0,0,16,176.5,11.0,94.5%
5,Julio Jones (TEN) ,99,157,"1,394",14.1,54,21,6,2,-3,0,0,15,175.1,11.7,98.3%
6,DeVante Parker (MIA) ,72,128,"1,202",16.7,51,21,9,0,0,0,0,16,174.2,10.9,68.3%
7,Amari Cooper (DAL) ,79,119,"1,189",15.1,53,17,8,1,6,0,0,16,167.5,10.5,97.5%
8,Mike Evans (TB) ,67,118,"1,157",17.3,67,17,8,0,0,0,0,13,165.7,12.7,99.1%
9,DeAndre Hopkins (ARI) ,104,150,"1,165",11.2,43,16,7,2,18,0,0,15,165.5,11.0,99.9%
10,A.J. Brown (TEN) ,52,84,"1,051",20.2,91,15,8,3,60,1,0,16,165.1,10.3,99.8%
11,Keenan Allen (LAC) ,104,149,"1,199",11.5,45,15,6,3,16,0,0,16,157.5,9.8,99.2%
12,Allen Robinson II (CHI) ,98,154,"1,147",11.7,49,15,7,1,2,0,0,16,156.9,9.8,99.1%
13,Julian Edelman (NE) ,100,153,"1,117",11.2,44,13,6,8,27,0,1,16,156.3,9.8,13.9%
14,Jarvis Landry (CLE) ,83,138,"1,174",14.1,65,20,6,1,10,0,0,16,154.4,9.7,83.4%
15,Tyler Lockett (SEA) ,82,110,"1,057",12.9,44,15,8,4,-5,0,0,16,153.2,9.6,96.0%
16,D.J. Chark Jr. (JAC) ,73,118,"1,008",13.8,69,17,8,2,20,0,0,15,152.8,10.2,89.6%
17,Courtland Sutton (DEN) ,72,124,"1,112",15.4,70,18,6,3,17,0,0,16,150.4,9.4,89.1%
18,Stefon Diggs (BUF) ,63,94,"1,130",17.9,66,20,6,5,61,0,3,15,149.1,9.9,99.9%
19,John Brown (LV) ,72,115,"1,060",14.7,53,17,6,2,7,0,0,15,147.8,9.9,37.8%
20,Michael Gallup (DAL) ,66,113,"1,107",16.8,62,18,6,0,0,0,0,14,146.7,10.5,73.7%
21,D.J. Moore (CAR) ,87,135,"1,175",13.5,52,13,4,6,40,0,1,15,143.5,9.6,95.3%
22,Robert Woods (LAR) ,90,139,"1,134",12.6,48,14,2,17,115,1,0,15,142.9,9.5,96.1%
23,Calvin Ridley (ATL) ,63,93,866,13.7,36,12,7,2,34,0,0,13,134.0,10.3,99.7%
24,Terry McLaurin (WAS) ,58,93,919,15.8,75,15,7,0,0,0,0,14,133.9,9.6,99.0%
25,Tyler Boyd (CIN) ,90,148,"1,046",11.6,47,12,5,4,23,0,2,16,132.9,8.3,86.6%
26,Deebo Samuel (SF) ,57,81,802,14.1,42,17,3,14,159,3,1,15,132.1,8.8,89.0%
27,Marvin Jones Jr. (JAC) ,62,91,779,12.6,47,12,9,2,0,0,0,13,131.9,10.1,65.1%
28,Tyreek Hill (KC) ,58,89,860,14.8,57,11,7,8,23,0,0,12,130.3,10.9,99.9%
29,Davante Adams (GB) ,83,127,997,12.0,58,12,5,0,0,0,1,12,129.7,10.8,99.9%
30,D.K. Metcalf (SEA) ,58,100,900,15.5,54,13,7,2,11,0,3,16,129.1,8.1,99.9%
31,Odell Beckham Jr. (CLE) ,74,133,"1,035",14.0,89,16,4,3,10,0,1,16,127.3,8.0,94.0%
32,Emmanuel Sanders (BUF) ,66,97,869,13.2,75,11,5,0,0,0,0,17,124.3,7.3,16.0%
33,Darius Slayton (NYG) ,48,84,740,15.4,55,12,8,0,0,0,0,14,122.0,8.7,13.6%
34,Jamison Crowder (NYJ) ,78,122,833,10.7,41,11,6,1,4,0,0,16,119.7,7.5,50.8%
35,Cole Beasley (BUF) ,67,106,778,11.6,51,10,6,0,0,0,0,15,117.8,7.9,65.2%
36,Curtis Samuel (WAS) ,54,105,627,11.6,44,8,6,19,130,1,0,16,117.7,7.4,84.6%
37,Mike Williams (LAC) ,49,90,"1,001",20.4,56,17,2,1,2,0,0,15,112.3,7.5,64.7%
38,Robby Anderson (CAR) ,52,96,779,15.0,92,13,5,1,4,0,0,16,110.3,6.9,90.0%
39,Chris Conley (HOU) ,47,90,775,16.5,70,13,5,0,0,0,0,16,109.5,6.8,1.2%
40,Diontae Johnson (PIT) ,59,92,680,11.5,45,7,5,4,41,0,2,16,104.1,6.5,94.9%
41,Golden Tate (FA) ,49,85,676,13.8,64,10,6,1,16,0,1,11,103.2,9.4,1.2%
42,Larry Fitzgerald (ARI) ,75,109,804,10.7,54,10,4,0,0,0,1,16,102.4,6.4,1.3%
43,Breshad Perriman (DET) ,36,69,645,17.9,44,15,6,2,16,0,0,14,102.1,7.3,15.0%
44,Tyrell Williams (DET) ,42,64,651,15.5,46,12,6,0,0,0,0,14,101.1,7.2,6.7%
45,Marquise Brown (BAL) ,46,71,584,12.7,83,8,7,0,0,0,0,14,100.4,7.2,76.2%
46,Christian Kirk (ARI) ,68,108,709,10.4,69,6,3,10,93,0,0,13,100.2,7.7,24.0%
47,Randall Cobb (HOU) ,55,83,828,15.1,59,15,3,3,11,0,1,15,99.9,6.7,3.5%
48,Zach Pascal (IND) ,41,72,607,14.8,37,11,5,2,16,0,0,16,94.3,5.9,1.9%
49,Mecole Hardman (KC) ,26,41,538,20.7,83,9,6,4,17,0,2,16,93.5,5.8,48.9%
50,Dede Westbrook (JAC) ,66,101,660,10.0,39,10,3,5,27,0,0,15,90.7,6.0,0.6%
51,James Washington (PIT) ,44,80,735,16.7,79,13,3,0,0,0,1,15,89.5,6.0,2.8%
52,Sammy Watkins (BAL) ,52,90,673,12.9,68,9,3,2,12,0,1,14,86.5,6.2,9.4%
53,Will Fuller V (MIA) ,49,71,670,13.7,54,10,3,0,0,0,0,11,85.0,7.7,83.7%
54,Sterling Shepard (NYG) ,57,83,576,10.1,36,8,3,6,72,0,0,10,84.8,8.5,24.4%
55,Hunter Renfrow (LV) ,49,71,605,12.3,65,7,4,0,0,0,0,13,84.5,6.5,4.6%
56,Adam Thielen (MIN) ,30,48,418,13.9,44,8,6,4,6,1,0,10,84.4,8.4,97.4%
57,T.Y. Hilton (IND) ,45,68,501,11.1,35,6,5,0,0,0,0,10,80.1,8.0,60.5%
58,Kenny Stills (BUF) ,40,55,561,14.0,45,9,4,0,0,0,0,13,80.1,6.2,0.6%
59,Alshon Jeffery (FA) ,43,73,490,11.4,38,6,4,1,2,1,0,10,79.2,7.9,0.7%
60,Danny Amendola (DET) ,62,97,678,10.9,47,6,1,0,0,0,0,15,78.6,5.2,0.6%
61,Steven Sims Jr. (WAS) ,34,56,310,9.1,65,2,4,9,85,1,0,16,75.5,4.7,0.7%
62,Anthony Miller (CHI) ,52,85,656,12.6,35,11,2,1,-1,0,1,16,75.5,4.7,2.7%
63,Brandin Cooks (HOU) ,42,72,583,13.9,57,9,2,6,52,0,0,14,75.5,5.4,86.5%
64,Corey Davis (NYJ) ,43,69,601,14.0,38,10,2,0,0,0,0,15,72.1,4.8,69.6%
65,Phillip Dorsett II (JAC) ,29,54,397,13.7,58,6,5,3,21,0,0,14,71.8,5.1,0.3%
66,JuJu Smith-Schuster (PIT) ,42,70,552,13.1,76,7,3,0,0,0,1,12,71.2,5.9,92.5%
67,Demarcus Robinson (KC) ,32,55,449,14.0,44,7,4,0,0,0,0,16,68.9,4.3,2.0%
68,Kendrick Bourne (NE) ,30,44,358,11.9,30,4,5,0,0,0,0,16,67.8,4.2,2.8%
69,Allen Lazard (GB) ,35,52,477,13.6,43,6,3,1,21,0,0,16,67.8,4.2,12.1%
70,John Ross (NYG) ,28,56,506,18.1,66,10,3,3,4,0,1,8,67.0,8.4,0.9%
71,Mohamed Sanu (SF) ,59,89,520,8.8,28,3,2,3,11,0,0,15,65.1,4.3,0.2%
72,Willie Snead IV (LV) ,31,46,339,10.9,50,4,5,2,2,0,0,16,64.1,4.0,0.7%
73,Auden Tate (CIN) ,40,80,575,14.4,33,8,1,0,0,0,1,13,61.5,4.7,0.5%
74,Taylor Gabriel (FA) ,29,48,353,12.2,53,4,4,3,20,0,0,9,61.3,6.8,0.1%
75,Preston Williams (MIA) ,32,60,428,13.4,35,6,3,0,0,0,1,8,58.8,7.4,3.3%
76,Marquez Valdes-Scantling (GB) ,26,56,452,17.4,74,7,2,2,9,0,0,16,58.1,3.6,7.1%
77,Tajae Sharpe (ATL) ,25,35,329,13.2,47,4,4,0,0,0,0,15,56.9,3.8,0.1%
78,Ted Ginn Jr. (FA) ,30,56,421,14.0,45,7,2,3,18,0,0,16,55.9,3.5,0.1%
79,Nelson Agholor (NE) ,39,69,363,9.3,43,5,3,2,7,0,1,11,55.0,5.0,40.4%
