RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
1,Travis Kelce (KC) ,105,145,"1,416",13.5,45,0,11,0,0,0,1,15,207.8,13.9,99.9%
2,Darren Waller (LV) ,107,145,"1,196",11.2,38,0,9,0,0,0,2,16,171.6,10.7,99.8%
3,Robert Tonyan (GB) ,52,59,586,11.3,45,0,11,0,0,0,0,16,124.6,7.8,89.7%
4,Mark Andrews (BAL) ,58,88,701,12.1,39,0,7,0,0,0,0,14,112.1,8.0,99.0%
5,T.J. Hockenson (DET) ,67,101,723,10.8,51,0,6,1,0,0,1,16,108.3,6.8,97.3%
6,Mike Gesicki (MIA) ,53,85,703,13.3,70,0,6,0,0,0,0,15,106.3,7.1,87.3%
7,Logan Thomas (WAS) ,72,110,670,9.3,30,0,6,3,5,0,0,16,104.6,6.5,91.3%
8,Rob Gronkowski (TB) ,45,77,623,13.8,48,0,7,0,0,0,0,16,104.3,6.5,80.5%
9,Jonnu Smith (NE) ,41,65,448,10.9,63,0,8,2,4,1,0,15,99.2,6.6,69.1%
10,Jimmy Graham (CHI) ,50,76,456,9.1,30,0,8,0,0,0,0,16,93.6,5.9,3.9%
11,Hayden Hurst (ATL) ,56,88,571,10.2,42,0,6,0,0,0,0,16,93.1,5.8,20.1%
12,Jared Cook (LAC) ,37,60,504,13.6,46,0,7,0,0,0,1,15,90.4,6.0,30.2%
13,Noah Fant (DEN) ,62,93,673,10.9,37,0,3,0,0,0,0,15,87.3,5.8,90.0%
14,Eric Ebron (PIT) ,56,91,558,10.0,27,0,5,0,0,0,1,15,85.8,5.7,34.9%
15,Hunter Henry (NE) ,60,93,613,10.2,33,0,4,0,0,0,0,14,85.3,6.1,61.4%
16,Tyler Higbee (LAR) ,44,60,521,11.8,44,0,5,1,1,0,0,15,84.2,5.6,57.2%
17,Dalton Schultz (DAL) ,63,89,615,9.8,28,0,4,0,0,0,1,16,83.5,5.2,4.0%
18,Evan Engram (NYG) ,63,109,654,10.4,53,0,1,6,26,1,1,16,78.0,4.9,63.9%
19,George Kittle (SF) ,48,63,634,13.2,44,0,2,2,17,0,0,8,77.1,9.6,99.9%
20,Dallas Goedert (PHI) ,46,65,524,11.4,41,0,3,0,0,0,0,11,70.4,6.4,93.0%
21,Irv Smith Jr. (MIN) ,30,43,365,12.2,36,0,5,0,0,0,0,13,68.5,5.3,73.2%
22,Austin Hooper (CLE) ,46,70,435,9.5,36,0,4,0,0,0,0,13,67.5,5.2,53.5%
23,Dan Arnold (CAR) ,31,45,438,14.1,59,0,4,0,0,0,1,16,65.8,4.1,2.1%
24,Trey Burton (IND) ,28,47,250,8.9,20,0,3,2,3,2,0,13,55.3,4.3,13.6%
25,Darren Fells (DET) ,21,28,312,14.9,44,0,4,0,0,0,0,16,55.2,3.5,0.6%
26,Gerald Everett (SEA) ,41,62,417,10.2,40,0,1,1,2,1,1,16,51.9,3.2,19.5%
