RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,OWN
1,Derrick Henry (TEN) ,378,"2,027",5.4,94,0,17,19,31,114,6.0,0,2,16,314.1,19.6,100.0%
2,Alvin Kamara (NO) ,187,932,5.0,49,0,16,83,107,756,9.1,5,0,15,294.8,19.7,99.9%
3,Dalvin Cook (MIN) ,312,"1,557",5.0,70,0,16,44,54,361,8.2,1,3,14,293.8,21.0,100.0%
4,Jonathan Taylor (IND) ,232,"1,169",5.0,62,0,11,36,40,299,8.3,1,1,15,216.8,14.5,99.8%
5,Aaron Jones (GB) ,201,"1,104",5.5,77,0,9,47,63,355,7.6,2,0,14,211.9,15.1,99.8%
6,David Montgomery (CHI) ,247,"1,070",4.3,80,0,8,54,68,438,8.1,2,1,15,210.8,14.1,96.7%
7,James Robinson (JAC) ,240,"1,070",4.5,47,0,7,49,60,344,7.0,3,1,14,201.4,14.4,93.0%
8,Josh Jacobs (LV) ,273,"1,065",3.9,28,0,12,33,45,238,7.2,0,2,15,198.3,13.2,97.8%
9,Nick Chubb (CLE) ,190,"1,067",5.6,59,0,12,16,18,150,9.4,0,1,12,191.7,16.0,99.9%
10,Kareem Hunt (CLE) ,198,841,4.2,33,0,6,38,51,304,8.0,5,0,16,180.5,11.3,93.5%
11,Ezekiel Elliott (DAL) ,244,979,4.0,31,0,6,52,71,338,6.5,2,5,15,171.7,11.4,99.8%
12,Kenyan Drake (LV) ,239,955,4.0,69,0,10,25,31,137,5.5,0,1,15,167.2,11.1,82.1%
13,Melvin Gordon III (DEN) ,215,986,4.6,65,0,9,32,44,158,4.9,1,4,15,166.4,11.1,89.3%
14,Antonio Gibson (WAS) ,170,795,4.7,40,0,11,36,44,247,6.9,0,2,14,166.2,11.9,98.1%
15,Ronald Jones II (TB) ,192,978,5.1,98,0,7,28,42,165,5.9,1,2,14,158.3,11.3,84.3%
16,Chris Carson (SEA) ,141,681,4.8,29,0,5,37,46,287,7.8,4,0,12,150.8,12.6,97.2%
17,J.K. Dobbins (BAL) ,134,805,6.0,72,0,9,18,24,120,6.7,0,0,15,150.5,10.0,97.8%
18,Mike Davis (ATL) ,165,642,3.9,25,0,6,59,70,373,6.3,2,1,15,147.5,9.8,88.7%
19,David Johnson (HOU) ,147,691,4.7,48,0,6,33,46,314,9.5,2,1,12,146.5,12.2,87.3%
20,D'Andre Swift (DET) ,114,521,4.6,54,0,8,46,57,357,7.8,2,2,13,143.8,11.1,98.1%
21,Miles Sanders (PHI) ,164,867,5.3,82,0,6,28,52,197,7.0,0,2,12,142.4,11.9,98.0%
22,Clyde Edwards-Helaire (KC) ,181,803,4.4,31,0,4,36,54,297,8.3,1,0,13,140.0,10.8,97.9%
23,Todd Gurley II (FA) ,195,678,3.5,35,0,9,25,35,164,6.6,0,0,15,138.2,9.2,13.2%
24,Nyheim Hines (IND) ,89,380,4.3,31,0,3,63,76,482,7.7,4,0,16,130.2,8.1,68.7%
25,James Conner (ARI) ,169,721,4.3,59,0,6,35,43,215,6.1,0,0,13,129.6,10.0,81.8%
26,Jeff Wilson Jr. (SF) ,126,600,4.8,34,0,7,13,28,133,10.2,3,2,12,129.3,10.8,24.0%
27,Myles Gaskin (MIA) ,142,584,4.1,26,0,3,41,47,388,9.5,2,2,10,123.2,12.3,93.7%
28,Gus Edwards (BAL) ,144,723,5.0,36,0,6,9,13,129,14.3,0,1,16,119.2,7.5,48.4%
29,Wayne Gallman (SF) ,147,682,4.6,60,0,6,21,27,114,5.4,0,0,15,115.6,7.7,4.1%
30,Chase Edmonds (ARI) ,97,448,4.6,32,0,1,53,67,402,7.6,4,0,16,115.0,7.2,90.7%
31,Darrell Henderson (LAR) ,138,624,4.5,40,0,5,16,24,159,9.9,1,0,15,114.3,7.6,39.4%
32,Latavius Murray (NO) ,146,656,4.5,36,0,4,23,26,176,7.7,1,0,15,113.2,7.5,42.3%
33,Adrian Peterson (DET) ,156,604,3.9,38,0,7,12,18,101,8.4,0,0,16,112.5,7.0,1.4%
34,J.D. McKissic (WAS) ,85,365,4.3,17,0,1,80,110,589,7.4,2,1,16,111.4,7.0,46.9%
35,Austin Ekeler (LAC) ,116,530,4.6,27,0,1,54,65,403,7.5,2,0,10,111.3,11.1,99.1%
36,Giovani Bernard (TB) ,124,416,3.4,15,0,3,47,59,355,7.6,3,1,16,111.1,6.9,9.2%
37,Devin Singletary (BUF) ,156,687,4.4,51,0,2,38,50,269,7.1,0,1,16,105.6,6.6,67.8%
38,Jamaal Williams (DET) ,119,505,4.2,25,0,2,31,35,236,7.6,1,0,14,96.1,6.9,43.5%
